x uv dv ubar dvar gl
1e-05 1.32488 1.31711 1.31788 1.31679 13.0173
2e-05 1.23384 1.22262 1.2239 1.2221 11.9401
3e-05 1.15743 1.14358 1.14528 1.14288 9.82796
5e-05 1.05457 1.03658 1.03901 1.03557 6.75041
6e-05 1.01798 0.998265 1.00102 0.997114 5.66152
7e-05 0.987485 0.966194 0.969254 0.964904 4.76902
8e-05 0.961512 0.938763 0.942111 0.937337 4.02398
9e-05 0.938998 0.914891 0.918513 0.913332 3.39198
0.0001 0.919207 0.893822 0.897707 0.892133 2.84846
0.0002 0.798267 0.762868 0.768955 0.759983 -0.149288
0.0003 0.735328 0.692589 0.700416 0.688612 -1.42148
0.0005 0.663736 0.609925 0.620504 0.60392 -2.55364
0.0006 0.640044 0.581741 0.593461 0.574773 -2.84362
0.0007 0.620694 0.558359 0.571107 0.550451 -3.04654
0.0008 0.604398 0.538391 0.552073 0.529562 -3.19312
0.0009 0.590356 0.520969 0.535506 0.511238 -3.30126
0.001 0.578041 0.50552 0.520841 0.494898 -3.38208
0.002 0.501696 0.405901 0.426509 0.38693 -3.59388
0.003 0.459732 0.348382 0.371422 0.321678 -3.51315
0.005 0.408713 0.276571 0.299817 0.235492 -3.26105
0.006 0.39102 0.251479 0.273281 0.203602 -3.14053
0.007 0.376353 0.230732 0.250351 0.176265 -3.02877
0.008 0.363934 0.213275 0.230099 0.152402 -2.92571
0.009 0.353268 0.198417 0.211931 0.1313 -2.83061
0.01 0.344008 0.185667 0.195439 0.112459 -2.74261
0.02 0.295438 0.124543 0.0828337 -0.00306945 -2.11714
0.03 0.286278 0.12065 0.0177948 -0.0523435 -1.73504
0.05 0.313973 0.166915 -0.051286 -0.077126 -1.26426
0.06 0.338315 0.197283 -0.0690043 -0.0743327 -1.10417
0.07 0.365562 0.227029 -0.0799681 -0.0677599 -0.973665
0.08 0.394015 0.254355 -0.0860507 -0.0596626 -0.86489
0.09 0.422502 0.278407 -0.0885889 -0.0513041 -0.772677
0.1 0.450223 0.298896 -0.0885568 -0.0433477 -0.693447
0.15 0.56215 0.351175 -0.0698326 -0.0160784 -0.421885
0.2 0.617523 0.344223 -0.0449804 -0.00533833 -0.266582
0.3 0.579599 0.256373 -0.0136205 -0.000664548 -0.109189
0.4 0.429734 0.15394 -0.00295135 -0.000131875 -0.0431498
0.55 0.183895 0.0492314 -0.000132723 -9.44442e-06 -0.00873361
0.6 0.122192 0.0297216 -2.93275e-05 -2.64209e-06 -0.00465104
0.7 0.0406667 0.0081957 5.00254e-07 1.8954e-07 -0.00105219
0.9 0.000228681 2.21159e-05 3.47612e-09 2.29257e-09 -2.00313e-06
