x uv dv ubar dvar gl
1e-05 1.36525 1.35653 1.35736 1.35603 13.6329
2e-05 1.20498 1.19247 1.19384 1.19168 9.96047
3e-05 1.09641 1.08103 1.08285 1.07999 7.05138
5e-05 0.963975 0.944116 0.946694 0.942643 3.49811
6e-05 0.919745 0.898021 0.900934 0.896348 2.34756
7e-05 0.88391 0.860491 0.863716 0.858624 1.43828
8e-05 0.8541 0.829117 0.832637 0.827063 0.701426
9e-05 0.828784 0.802343 0.806142 0.800108 0.092114
0.0001 0.806921 0.779115 0.78318 0.776703 -0.420088
0.0002 0.681267 0.642816 0.649067 0.638807 -3.02136
0.0003 0.621251 0.575067 0.582995 0.569636 -3.96704
0.0005 0.557383 0.499638 0.510125 0.491624 -4.65015
0.0006 0.537231 0.47483 0.486342 0.465607 -4.77783
0.0007 0.521112 0.454549 0.466965 0.444157 -4.84463
0.0008 0.507761 0.437419 0.450641 0.425892 -4.87477
0.0009 0.49641 0.422604 0.436546 0.409969 -4.88172
0.001 0.486566 0.409555 0.424145 0.395836 -4.87345
0.002 0.427391 0.3269 0.34531 0.303224 -4.54338
0.003 0.395783 0.27993 0.299275 0.247291 -4.18873
0.005 0.357859 0.221971 0.238661 0.173102 -3.64229
0.006 0.344855 0.20201 0.215924 0.145614 -3.43076
0.007 0.334169 0.185693 0.196165 0.122075 -3.24784
0.008 0.32522 0.172148 0.178638 0.101572 -3.08741
0.009 0.317631 0.160798 0.162864 0.0834962 -2.94498
0.01 0.311146 0.151233 0.148512 0.0674156 -2.81724
0.02 0.281279 0.111589 0.0503868 -0.0286752 -1.99075
0.03 0.282984 0.119069 -0.00542439 -0.066295 -1.53909
0.05 0.321827 0.173633 -0.0620838 -0.079024 -1.03004
0.06 0.348416 0.204112 -0.0754335 -0.0734379 -0.869129
0.07 0.376379 0.232487 -0.0829091 -0.0653084 -0.742871
0.08 0.404324 0.257508 -0.0862325 -0.0564698 -0.641223
0.09 0.431337 0.27871 -0.0866185 -0.0478896 -0.557765
0.1 0.456814 0.296072 -0.0849389 -0.040029 -0.488174
0.15 0.551126 0.333422 -0.0630066 -0.0145 -0.26635
0.2 0.586432 0.316781 -0.0390351 -0.00489329 -0.153516
0.3 0.521569 0.22466 -0.0111673 -0.000675975 -0.0536648
0.4 0.368781 0.129211 -0.00231536 -0.000138666 -0.0185134
0.55 0.147229 0.03876 -9.78272e-05 -9.63946e-06 -0.00315715
0.6 0.0954324 0.0228583 -2.0981e-05 -2.73028e-06 -0.00160123
0.7 0.0300676 0.00598959 4.24475e-07 1.17747e-07 -0.000337581
0.9 0.000152091 1.44961e-05 2.64961e-09 1.82672e-09 -4.69951e-07
