x uv dv ubar dvar gl
1e-05 0.758264 0.746253 0.747334 0.745122 -13.6211
2e-05 0.51542 0.498534 0.500253 0.496773 -16.434
3e-05 0.396744 0.376233 0.378459 0.373943 -17.3462
5e-05 0.284322 0.258263 0.261302 0.255063 -17.6014
6e-05 0.254309 0.22597 0.229351 0.222359 -17.4697
7e-05 0.232845 0.202444 0.206139 0.198445 -17.2772
8e-05 0.216989 0.184699 0.188682 0.180328 -17.0555
9e-05 0.204995 0.170956 0.175207 0.166227 -16.8213
0.0001 0.195763 0.160091 0.164592 0.155016 -16.5834
0.0002 0.164604 0.116452 0.122846 0.108351 -14.5042
0.0003 0.164237 0.107269 0.114916 0.0965888 -13.0225
0.0005 0.174884 0.105091 0.114303 0.089928 -11.0548
0.0006 0.180464 0.105621 0.115329 0.0884304 -10.3514
0.0007 0.185591 0.106288 0.116358 0.0871702 -9.76279
0.0008 0.190213 0.106908 0.117235 0.0859458 -9.25977
0.0009 0.194358 0.10742 0.117915 0.0846827 -8.82271
0.001 0.198076 0.107809 0.118399 0.0833578 -8.4378
0.002 0.220584 0.106906 0.115882 0.067495 -6.0868
0.003 0.23066 0.102657 0.107508 0.0506703 -4.88444
0.005 0.239544 0.094266 0.0875721 0.0209594 -3.56988
0.006 0.241947 0.0911278 0.0777807 0.00842954 -3.15538
0.007 0.243837 0.0887544 0.06843 -0.00270928 -2.82717
0.008 0.245483 0.0871016 0.0595765 -0.0126033 -2.55914
0.009 0.247033 0.0861002 0.0512274 -0.0213941 -2.33512
0.01 0.248567 0.0856747 0.0433666 -0.029212 -2.14446
0.02 0.267816 0.10153 -0.0139026 -0.0720717 -1.11166
0.03 0.293621 0.13296 -0.0459292 -0.081696 -0.677099
0.05 0.350392 0.196886 -0.0730677 -0.0697358 -0.294149
0.06 0.37726 0.222704 -0.0768441 -0.0597791 -0.198512
0.07 0.40185 0.243535 -0.077088 -0.0499926 -0.133096
0.08 0.423713 0.259512 -0.0750428 -0.0411278 -0.0870862
0.09 0.442644 0.271077 -0.0715522 -0.0334453 -0.0541265
0.1 0.458629 0.278787 -0.0671891 -0.0269588 -0.030262
0.15 0.497071 0.276637 -0.0427497 -0.00855156 0.0202038
0.2 0.481367 0.239417 -0.0237536 -0.0026427 0.0267894
0.3 0.365175 0.146438 -0.00571615 -0.00030659 0.0164953
0.4 0.224113 0.0739082 -0.00102161 -4.83909e-05 0.00697965
0.55 0.0726118 0.0182475 -3.25899e-05 -1.38993e-06 0.00120035
0.6 0.0436527 0.0100166 -5.51694e-06 3.55157e-08 0.000565517
0.7 0.0116773 0.00225294 3.72266e-07 1.75771e-07 9.04485e-05
0.9 4.34268e-05 3.92666e-06 8.60375e-10 5.95933e-10 1.16693e-07
