x xuv xdv xubar xdbar xgl
0.001 2.06419 2.02797 1.9783 1.99965 36.2834
0.00103532 2.03718 2.00065 1.95009 1.97163 35.5461
0.00107189 2.01054 1.97369 1.92223 1.94396 34.821
0.00110975 1.98427 1.94709 1.89471 1.91663 34.108
0.00114895 1.95836 1.92085 1.86755 1.88964 33.407
0.00118953 1.93281 1.89497 1.84072 1.863 32.7177
0.00123155 1.90761 1.86944 1.81423 1.83668 32.0401
0.00127505 1.88277 1.84425 1.78808 1.8107 31.3739
0.00132009 1.85829 1.81941 1.76226 1.78504 30.719
0.00136672 1.83415 1.79492 1.73677 1.75971 30.0752
0.00141499 1.81035 1.77076 1.71161 1.7347 29.4425
0.00146497 1.7869 1.74694 1.68677 1.71001 28.8206
0.00151672 1.76379 1.72346 1.66225 1.68563 28.2093
0.00157029 1.74102 1.7003 1.63805 1.66156 27.6087
0.00162576 1.71859 1.67748 1.61417 1.6378 27.0184
0.00168318 1.69649 1.65498 1.59059 1.61434 26.4384
0.00174263 1.67471 1.63279 1.56732 1.59118 25.8686
0.00180419 1.65327 1.61093 1.54436 1.56832 25.3087
0.00186791 1.63215 1.58938 1.5217 1.54575 24.7586
0.00193389 1.61135 1.56815 1.49934 1.52347 24.2183
0.0020022 1.59087 1.54722 1.47727 1.50147 23.6875
0.00207292 1.57071 1.5266 1.4555 1.47976 23.1661
0.00214614 1.55087 1.50629 1.43402 1.45833 22.6541
0.00222195 1.53133 1.48627 1.41283 1.43717 22.1512
0.00230043 1.51211 1.46655 1.39191 1.41628 21.6573
0.00238169 1.49319 1.44712 1.37128 1.39566 21.1724
0.00246581 1.47458 1.42798 1.35093 1.3753 20.6962
0.00255291 1.45627 1.40913 1.33085 1.35521 20.2287
0.00264308 1.43826 1.39056 1.31105 1.33537 19.7696
0.00273644 1.42055 1.37228 1.29151 1.31578 19.319
0.0028331 1.40313 1.35427 1.27224 1.29645 18.8767
0.00293317 1.38601 1.33653 1.25323 1.27736 18.4425
0.00303677 1.36917 1.31907 1.23448 1.25851 18.0164
0.00314404 1.35263 1.30187 1.21599 1.2399 17.5982
0.00325509 1.33636 1.28494 1.19775 1.22152 17.1878
0.00337006 1.32038 1.26826 1.17976 1.20338 16.785
0.0034891 1.30468 1.25185 1.16202 1.18546 16.3899
0.00361234 1.28926 1.23569 1.14452 1.16776 16.0022
0.00373994 1.27412 1.21977 1.12727 1.15028 15.6218
0.00387204 1.25925 1.20411 1.11025 1.13302 15.2487
0.00400881 1.24464 1.18869 1.09347 1.11597 14.8827
0.0041504 1.23031 1.17351 1.07692 1.09913 14.5237
0.004297 1.21625 1.15856 1.0606 1.08249 14.1717
0.00444878 1.20244 1.14385 1.04451 1.06605 13.8264
0.00460592 1.1889 1.12937 1.02864 1.0498 13.4879
0.00476861 1.17562 1.11512 1.01299 1.03374 13.1559
0.00493705 1.1626 1.10108 0.997556 1.01788 12.8305
0.00511143 1.14983 1.08727 0.982336 1.00219 12.5114
0.00529198 1.13731 1.07367 0.967327 0.986687 12.1987
0.0054789 1.12504 1.06028 0.952526 0.971356 11.8921
0.00567243 1.11302 1.0471 0.937929 0.956197 11.5917
0.00587279 1.10124 1.03412 0.923533 0.941204 11.2972
0.00608022 1.08971 1.02134 0.909335 0.926374 11.0087
0.00629499 1.07842 1.00876 0.895333 0.911702 10.726
0.00651734 1.06737 0.996372 0.881522 0.897185 10.449
0.00674754 1.05655 0.984171 0.8679 0.882817 10.1777
0.00698588 1.04596 0.972154 0.854463 0.868596 9.91192
0.00723263 1.03561 0.960318 0.841208 0.854517 9.6516
0.0074881 1.02549 0.948659 0.828132 0.840576 9.39666
0.0077526 1.01559 0.937172 0.815232 0.826769 9.147
0.00802643 1.00591 0.925855 0.802505 0.813091 8.90255
0.00830994 0.99646 0.914702 0.789946 0.799538 8.66321
0.00860346 0.987225 0.903709 0.777554 0.786108 8.42891
0.00890735 0.978206 0.892874 0.765324 0.772794 8.19957
0.00922198 0.969401 0.882191 0.753254 0.759594 7.97509
0.00954772 0.960807 0.871657 0.741339 0.746503 7.75541
0.00988496 0.952421 0.861267 0.729577 0.733518 7.54045
0.0102341 0.944241 0.851018 0.717965 0.720634 7.33012
0.0105956 0.936264 0.840906 0.706498 0.707848 7.12436
0.0109699 0.928488 0.830926 0.695174 0.695157 6.92308
0.0113573 0.920909 0.821075 0.683989 0.682555 6.72621
0.0117585 0.913524 0.811348 0.672941 0.67004 6.53368
0.0121738 0.906332 0.801742 0.662024 0.657609 6.34541
0.0126038 0.899328 0.792253 0.651237 0.645257 6.16134
0.013049 0.89251 0.782876 0.640575 0.632982 5.98139
0.0135099 0.885875 0.773609 0.630035 0.62078 5.8055
0.0139871 0.879419 0.764446 0.619614 0.608649 5.63358
0.0144812 0.87314 0.755385 0.609309 0.596585 5.46559
0.0149927 0.867034 0.746422 0.599115 0.584585 5.30145
0.0155223 0.861098 0.737553 0.58903 0.572647 5.14109
0.0160705 0.855329 0.728775 0.57905 0.560769 4.98445
0.0166382 0.849722 0.720084 0.569171 0.548949 4.83147
0.0172259 0.844274 0.711476 0.559391 0.537184 4.68208
0.0178343 0.838982 0.70295 0.549706 0.525472 4.53622
0.0184642 0.833842 0.6945 0.540112 0.513812 4.39382
0.0191164 0.82885 0.686126 0.530606 0.502203 4.25484
0.0197917 0.824001 0.677822 0.521186 0.490644 4.1192
0.0204907 0.819293 0.669588 0.511846 0.479133 3.98686
