x uv dv ubar dvar gl
1e-05 1.33662 1.32717 1.32805 1.32654 11.2548
2e-05 1.13218 1.11869 1.12013 1.1177 6.3945
3e-05 1.00622 0.989686 0.991597 0.988389 3.29827
5e-05 0.860695 0.839434 0.842124 0.837598 -0.152114
6e-05 0.813938 0.790716 0.793746 0.788634 -1.20242
7e-05 0.776753 0.751749 0.755096 0.749433 -2.00789
8e-05 0.746311 0.719665 0.723308 0.717122 -2.64334
9e-05 0.720818 0.692645 0.696569 0.689884 -3.15588
0.0001 0.699083 0.66948 0.67367 0.666506 -3.57662
0.0002 0.579718 0.539022 0.545365 0.534143 -5.50982
0.0003 0.526568 0.477867 0.485819 0.471311 -6.05086
0.0005 0.47325 0.412658 0.422992 0.403098 -6.24813
0.0006 0.45716 0.391803 0.403063 0.380852 -6.2134
0.0007 0.444543 0.374938 0.386997 0.362647 -6.14834
0.0008 0.434253 0.360805 0.37356 0.347217 -6.06859
0.0009 0.425615 0.348649 0.362014 0.3338 -5.9821
0.001 0.418198 0.337986 0.351887 0.321909 -5.89309
0.002 0.374708 0.270938 0.287501 0.24373 -5.10131
0.003 0.351833 0.232886 0.249245 0.195836 -4.5328
0.005 0.324358 0.185974 0.197581 0.131403 -3.77341
0.006 0.314956 0.169944 0.177823 0.107351 -3.50029
0.007 0.307274 0.156957 0.160508 0.0867215 -3.2709
0.008 0.300904 0.146307 0.145052 0.0687515 -3.07424
0.009 0.295573 0.137518 0.131076 0.0529262 -2.90286
0.01 0.2911 0.130248 0.118314 0.038875 -2.75156
0.02 0.274233 0.105396 0.0305741 -0.043511 -1.82122
0.03 0.282982 0.120092 -0.0189099 -0.0733839 -1.3462
0.05 0.328291 0.179014 -0.0673801 -0.0786128 -0.841252
0.06 0.355812 0.209024 -0.0779532 -0.0714499 -0.689531
0.07 0.383689 0.23602 -0.0832638 -0.0625339 -0.573703
0.08 0.41076 0.259128 -0.0849186 -0.053411 -0.482783
0.09 0.436288 0.278133 -0.084042 -0.0448523 -0.409896
0.1 0.459823 0.293189 -0.0814313 -0.03719 -0.350494
0.15 0.540941 0.320273 -0.0580255 -0.0131602 -0.171652
0.2 0.562656 0.297548 -0.0349931 -0.00442413 -0.0894187
0.3 0.481577 0.2037 -0.00960938 -0.000619452 -0.0255698
0.4 0.329121 0.113568 -0.00192724 -0.000124786 -0.00720984
0.55 0.124999 0.0325273 -7.72136e-05 -8.11516e-06 -0.000935989
0.6 0.0795862 0.0188599 -1.60347e-05 -2.20904e-06 -0.000445836
0.7 0.0241084 0.00476414 3.98096e-07 1.10747e-07 -9.21754e-05
0.9 0.000113157 1.06642e-05 2.07155e-09 1.44141e-09 -5.89663e-08
