x xuv xdv xubar xdbar xgl
0.001 2.18678 2.1496 2.0982 2.1195 38.2967
0.00103532 2.15674 2.11922 2.06692 2.0884 37.4931
0.00107189 2.12713 2.08928 2.03606 2.05771 36.7035
0.00110975 2.09795 2.05975 2.0056 2.02742 35.9277
0.00114895 2.06919 2.03064 1.97555 1.99754 35.1654
0.00118953 2.04085 2.00194 1.9459 1.96804 34.4164
0.00123155 2.01293 1.97365 1.91664 1.93894 33.6807
0.00127505 1.98541 1.94577 1.88777 1.91022 32.9579
0.00132009 1.9583 1.91829 1.8593 1.88189 32.2479
0.00136672 1.9316 1.8912 1.8312 1.85393 31.5505
0.00141499 1.90529 1.86451 1.80349 1.82635 30.8656
0.00146497 1.87939 1.83821 1.77615 1.79914 30.1929
0.00151672 1.85387 1.81229 1.74919 1.77229 29.5322
0.00157029 1.82875 1.78675 1.72259 1.7458 28.8835
0.00162576 1.80401 1.76159 1.69636 1.71967 28.2465
0.00168318 1.77965 1.73681 1.67048 1.69389 27.6211
0.00174263 1.75567 1.71239 1.64497 1.66845 27.007
0.00180419 1.73207 1.68834 1.6198 1.64336 26.4041
0.00186791 1.70884 1.66464 1.59499 1.61861 25.8123
0.00193389 1.68597 1.64131 1.57052 1.59419 25.2314
0.0020022 1.66348 1.61833 1.54639 1.5701 24.6612
0.00207292 1.64134 1.5957 1.5226 1.54634 24.1015
0.00214614 1.61956 1.57342 1.49914 1.5229 23.5523
0.00222195 1.59814 1.55147 1.47601 1.49978 23.0133
0.00230043 1.57707 1.52987 1.4532 1.47697 22.4844
0.00238169 1.55635 1.5086 1.43072 1.45446 21.9654
0.00246581 1.53598 1.48765 1.40856 1.43226 21.4562
0.00255291 1.51594 1.46704 1.38671 1.41036 20.9567
0.00264308 1.49625 1.44674 1.36517 1.38876 20.4666
0.00273644 1.47689 1.42677 1.34394 1.36744 19.9859
0.0028331 1.45787 1.40711 1.32301 1.34641 19.5144
0.00293317 1.43917 1.38775 1.30238 1.32567 19.0519
0.00303677 1.4208 1.36871 1.28205 1.3052 18.5984
0.00314404 1.40276 1.34996 1.26201 1.285 18.1536
0.00325509 1.38503 1.33152 1.24225 1.26507 17.7175
0.00337006 1.36762 1.31337 1.22278 1.24541 17.2899
0.0034891 1.35053 1.29551 1.2036 1.226 16.8706
0.00361234 1.33375 1.27793 1.18469 1.20685 16.4596
0.00373994 1.31727 1.26064 1.16605 1.18796 16.0567
0.00387204 1.3011 1.24362 1.14769 1.1693 15.6618
0.00400881 1.28524 1.22688 1.12959 1.15089 15.2747
0.0041504 1.26967 1.2104 1.11175 1.13272 14.8954
0.004297 1.2544 1.1942 1.09417 1.11477 14.5237
0.00444878 1.23942 1.17825 1.07685 1.09706 14.1594
0.00460592 1.22473 1.16256 1.05978 1.07957 13.8025
0.00476861 1.21033 1.14713 1.04295 1.0623 13.4528
0.00493705 1.19621 1.13194 1.02638 1.04524 13.1103
0.00511143 1.18237 1.117 1.01004 1.02839 12.7748
0.00529198 1.16882 1.1023 0.993936 1.01175 12.4462
0.0054789 1.15554 1.08783 0.978069 0.995309 12.1243
0.00567243 1.14253 1.0736 0.962431 0.979064 11.8091
0.00587279 1.12979 1.05959 0.947019 0.96301 11.5005
0.00608022 1.11732 1.04581 0.93183 0.947143 11.1983
0.00629499 1.10511 1.03224 0.916859 0.931459 10.9025
0.00651734 1.09316 1.01889 0.902104 0.915953 10.6129
0.00674754 1.08147 1.00576 0.88756 0.90062 10.3294
0.00698588 1.07004 0.992822 0.873223 0.885456 10.052
0.00723263 1.05886 0.980091 0.859091 0.870456 9.78051
0.0074881 1.04792 0.967557 0.845159 0.855616 9.51484
0.0077526 1.03724 0.955216 0.831424 0.840932 9.2549
0.00802643 1.02679 0.943064 0.817882 0.826398 9.00058
0.00830994 1.01659 0.931095 0.80453 0.812012 8.75181
0.00860346 1.00663 0.919307 0.791362 0.797767 8.50848
