x uv dv ubar dvar gl
1e-05 1.3142 1.3045 1.3054 1.30383 9.97949
2e-05 1.0972 1.08338 1.08485 1.08232 4.8903
3e-05 0.966977 0.950055 0.951997 0.948666 1.81094
5e-05 0.819035 0.797305 0.800032 0.795343 -1.52364
6e-05 0.772105 0.748381 0.75145 0.746159 -2.51604
7e-05 0.735018 0.709484 0.712869 0.707012 -3.26799
8e-05 0.704824 0.677622 0.681305 0.674911 -3.8545
9e-05 0.679665 0.650914 0.654877 0.647971 -4.32236
0.0001 0.658314 0.628111 0.632339 0.624942 -4.70223
0.0002 0.543011 0.50157 0.507935 0.49639 -6.35957
0.0003 0.49307 0.443537 0.451485 0.436595 -6.74519
0.0005 0.444199 0.38267 0.392934 0.372582 -6.7635
0.0006 0.429737 0.363409 0.374562 0.351867 -6.67056
0.0007 0.418496 0.347894 0.359809 0.334955 -6.55881
0.0008 0.409391 0.334926 0.347499 0.320636 -6.44054
0.0009 0.401791 0.323792 0.336935 0.308191 -6.32158
0.001 0.395294 0.314038 0.327676 0.297159 -6.20473
0.002 0.357572 0.252745 0.268645 0.224347 -5.25786
0.003 0.337792 0.217858 0.233171 0.179333 -4.62034
0.005 0.313922 0.174758 0.184625 0.118297 -3.79477
0.006 0.305739 0.160055 0.165885 0.0954164 -3.50316
0.007 0.299064 0.148182 0.149399 0.07577 -3.26011
0.008 0.29355 0.138491 0.13464 0.0586488 -3.05299
0.009 0.288965 0.130545 0.121264 0.043572 -2.87342
0.01 0.28515 0.124025 0.109031 0.0301915 -2.71557
0.02 0.27244 0.103877 0.0246788 -0.0477692 -1.759
0.03 0.283345 0.120753 -0.0227928 -0.075225 -1.28044
0.05 0.330482 0.180814 -0.0687174 -0.0782063 -0.780945
0.06 0.358185 0.210577 -0.0784462 -0.070601 -0.633308
0.07 0.385929 0.237059 -0.0831078 -0.0614831 -0.521616
0.08 0.412628 0.2595 -0.0842708 -0.0523075 -0.434688
0.09 0.437601 0.277767 -0.0830293 -0.0437846 -0.365568
0.1 0.460447 0.292065 -0.0801564 -0.0362069 -0.309683
0.15 0.537193 0.315896 -0.0564025 -0.0127013 -0.144832
0.2 0.554641 0.291346 -0.0337209 -0.00425448 -0.071913
0.3 0.468828 0.197166 -0.00913665 -0.000593691 -0.0183604
0.4 0.316877 0.108812 -0.00181211 -0.000118271 -0.00447207
0.55 0.118403 0.0306964 -7.1227e-05 -7.46015e-06 -0.000443911
0.6 0.0749466 0.0176996 -1.45991e-05 -1.98372e-06 -0.000198125
0.7 0.0224138 0.00441791 3.93854e-07 1.14583e-07 -4.27598e-05
0.9 0.000102683 9.63991e-06 1.9032e-09 1.32609e-09 9.86248e-09
