x xuv xdv xubar xdbar xgl
0.001 2.00579 1.97003 1.92119 1.94255 35.2836
0.00103532 1.98019 1.94413 1.8944 1.91596 34.5782
0.00107189 1.95494 1.91856 1.86794 1.8897 33.8844
0.00110975 1.93002 1.89333 1.8418 1.86375 33.2018
0.00114895 1.90544 1.86843 1.81598 1.83812 32.5304
0.00118953 1.88119 1.84385 1.79048 1.8128 31.87
0.00123155 1.85727 1.8196 1.76528 1.78779 31.2205
0.00127505 1.83368 1.79568 1.7404 1.76309 30.5818
0.00132009 1.81041 1.77208 1.71582 1.73868 29.9536
0.00136672 1.78747 1.74879 1.69155 1.71458 29.3359
0.00141499 1.76486 1.72583 1.66759 1.69077 28.7285
0.00146497 1.74256 1.70317 1.64392 1.66726 28.1314
0.00151672 1.72057 1.68083 1.62054 1.64404 27.5442
0.00157029 1.69891 1.65879 1.59747 1.62111 26.967
0.00162576 1.67755 1.63706 1.57468 1.59846 26.3995
0.00168318 1.65651 1.61563 1.55218 1.57609 25.8417
0.00174263 1.63577 1.59449 1.52997 1.554 25.2935
0.00180419 1.61534 1.57366 1.50805 1.53218 24.7546
0.00186791 1.59521 1.55312 1.4864 1.51064 24.225
0.00193389 1.57539 1.53287 1.46503 1.48936 23.7045
0.0020022 1.55586 1.51292 1.44394 1.46835 23.1931
0.00207292 1.53663 1.49324 1.42312 1.44761 22.6905
0.00214614 1.51769 1.47385 1.40257 1.42712 22.1967
0.00222195 1.49905 1.45474 1.38229 1.40689 21.7116
0.00230043 1.4807 1.43591 1.36227 1.38691 21.235
0.00238169 1.46263 1.41735 1.34251 1.36718 20.7668
0.00246581 1.44485 1.39907 1.32302 1.3477 20.3069
0.00255291 1.42736 1.38105 1.30378 1.32846 19.8551
0.00264308 1.41014 1.3633 1.28479 1.30945 19.4115
0.00273644 1.39321 1.34581 1.26606 1.29069 18.9758
0.0028331 1.37655 1.32859 1.24757 1.27215 18.5479
0.00293317 1.36017 1.31162 1.22933 1.25385 18.1277
0.00303677 1.34406 1.2949 1.21133 1.23577 17.7152
0.00314404 1.32823 1.27844 1.19358 1.21792 17.3102
0.00325509 1.31266 1.26222 1.17606 1.20028 16.9125
0.00337006 1.29736 1.24625 1.15877 1.18285 16.5222
0.0034891 1.28232 1.23053 1.14172 1.16564 16.139
0.00361234 1.26755 1.21504 1.1249 1.14864 15.763
0.00373994 1.25303 1.19978 1.1083 1.13184 15.3939
0.00387204 1.23878 1.18476 1.09193 1.11524 15.0316
0.00400881 1.22478 1.16997 1.07577 1.09884 14.6762
0.0041504 1.21104 1.15541 1.05984 1.08263 14.3274
0.004297 1.19755 1.14107 1.04412 1.06662 13.9853
0.00444878 1.1843 1.12695 1.02862 1.05078 13.6496
0.00460592 1.17131 1.11304 1.01332 1.03513 13.3202
0.00476861 1.15857 1.09935 0.998234 1.01966 12.9972
0.00493705 1.14606 1.08587 0.983349 1.00437 12.6804
0.00511143 1.1338 1.0726 0.968666 0.98924 12.3696
0.00529198 1.12178 1.05953 0.954181 0.974281 12.0649
0.0054789 1.11 1.04665 0.939892 0.959485 11.7661
0.00567243 1.09845 1.03398 0.925795 0.944848 11.4732
