x xuv xdv xubar xdbar xgl
0.001 1.96397 1.92853 1.88028 1.90164 34.5492
0.00103532 1.93936 1.90362 1.8545 1.87607 33.8669
0.00107189 1.91508 1.87904 1.82903 1.8508 33.1955
0.00110975 1.89112 1.85477 1.80385 1.82582 32.5349
0.00114895 1.86747 1.83081 1.77898 1.80115 31.8849
0.00118953 1.84414 1.80716 1.75441 1.77676 31.2454
0.00123155 1.82112 1.78382 1.73013 1.75267 30.6162
0.00127505 1.79841 1.76078 1.70614 1.72887 29.9973
0.00132009 1.77601 1.73805 1.68244 1.70535 29.3884
0.00136672 1.75392 1.71563 1.65903 1.68211 28.7896
0.00141499 1.73213 1.6935 1.63591 1.65916 28.2005
0.00146497 1.71064 1.67166 1.61307 1.63648 27.6212
0.00151672 1.68946 1.65012 1.59051 1.61408 27.0515
0.00157029 1.66857 1.62888 1.56822 1.59195 26.4912
0.00162576 1.64798 1.60792 1.54622 1.57009 25.9403
0.00168318 1.62769 1.58725 1.52448 1.54849 25.3986
0.00174263 1.60768 1.56686 1.50302 1.52716 24.866
0.00180419 1.58797 1.54676 1.48183 1.50608 24.3424
0.00186791 1.56855 1.52693 1.4609 1.48527 23.8277
0.00193389 1.54941 1.50739 1.44024 1.46471 23.3216
0.0020022 1.53056 1.48811 1.41983 1.4444 22.8243
0.00207292 1.51199 1.46911 1.39969 1.42434 22.3354
0.00214614 1.4937 1.45038 1.3798 1.40452 21.8549
0.00222195 1.47569 1.43192 1.36017 1.38495 21.3827
0.00230043 1.45795 1.41372 1.34079 1.36562 20.9186
0.00238169 1.44049 1.39578 1.32165 1.34652 20.4627
0.00246581 1.42331 1.3781 1.30276 1.32766 20.0146
0.00255291 1.40639 1.36068 1.28412 1.30903 19.5745
0.00264308 1.38974 1.34351 1.26572 1.29062 19.142
0.00273644 1.37336 1.32659 1.24756 1.27244 18.7172
0.0028331 1.35725 1.30992 1.22963 1.25448 18.2999
0.00293317 1.3414 1.2935 1.21194 1.23673 17.89
0.00303677 1.32581 1.27732 1.19448 1.2192 17.4874
0.00314404 1.31048 1.26138 1.17724 1.20189 17.0921
0.00325509 1.29541 1.24567 1.16024 1.18477 16.7038
0.00337006 1.28059 1.2302 1.14346 1.16787 16.3226
0.0034891 1.26603 1.21497 1.1269 1.15116 15.9482
0.00361234 1.25171 1.19996 1.11056 1.13466 15.5807
0.00373994 1.23765 1.18518 1.09443 1.11834 15.2199
0.00387204 1.22384 1.17062 1.07852 1.10222 14.8657
0.00400881 1.21027 1.15628 1.06282 1.08628 14.518
0.0041504 1.19695 1.14216 1.04732 1.07053 14.1768
0.004297 1.18387 1.12825 1.03204 1.05496 13.8419
0.00444878 1.17103 1.11455 1.01695 1.03957 13.5133
0.00460592 1.15843 1.10106 1.00207 1.02434 13.1908
0.00476861 1.14607 1.08777 0.987384 1.00929 12.8743
0.00493705 1.13394 1.07469 0.972894 0.994405 12.5639
0.00511143 1.12205 1.0618 0.958596 0.97968 12.2593
0.00529198 1.11038 1.04911 0.944488 0.965114 11.9606
0.0054789 1.09895 1.03661 0.930567 0.950703 11.6675
