x uv dv ubar dvar gl
1e-05 0.17306 0.159767 0.160952 0.158362 -34.2756
2e-05 0.00655591 -0.0120134 -0.0101652 -0.0141943 -32.375
3e-05 -0.0603324 -0.0827983 -0.0804342 -0.0856275 -30.6282
5e-05 -0.105213 -0.133608 -0.130436 -0.137546 -27.8223
6e-05 -0.111296 -0.142115 -0.13861 -0.146551 -26.6953
7e-05 -0.1128 -0.145807 -0.142 -0.150712 -25.7044
8e-05 -0.111641 -0.146649 -0.142568 -0.152003 -24.8241
9e-05 -0.108883 -0.14574 -0.141406 -0.151524 -24.0344
0.0001 -0.105144 -0.143725 -0.139157 -0.149924 -23.3201
0.0002 -0.0575216 -0.109179 -0.102928 -0.118983 -18.579
0.0003 -0.0178884 -0.0786937 -0.0714282 -0.0915334 -15.9003
0.0005 0.0362722 -0.0377117 -0.0293778 -0.0557645 -12.7601
0.0006 0.0555404 -0.0235905 -0.0150117 -0.0439807 -11.7193
0.0007 0.0715049 -0.0121523 -0.00345778 -0.0347519 -10.8756
0.0008 0.0849837 -0.00271809 0.00598877 -0.027423 -10.1726
0.0009 0.0965431 0.00518307 0.0138171 -0.0215398 -9.57449
0.001 0.106585 0.0118853 0.0203763 -0.0167798 -9.05709
0.002 0.16403 0.0461773 0.0508754 0.000818547 -6.07243
0.003 0.189873 0.0581959 0.0569001 -0.000909494 -4.65655
0.005 0.214772 0.0668945 0.0510323 -0.0150368 -3.19512
0.006 0.222046 0.0691292 0.0453869 -0.0226914 -2.75428
0.007 0.227765 0.0710456 0.0392542 -0.0299221 -2.41261
0.008 0.232534 0.0729334 0.0330074 -0.0365643 -2.13871
0.009 0.236697 0.0749227 0.0268385 -0.0425766 -1.91352
0.01 0.240465 0.0770667 0.0208466 -0.0479739 -1.72471
0.02 0.271962 0.106729 -0.0252928 -0.0764252 -0.756023
0.03 0.30236 0.142309 -0.0512327 -0.0794898 -0.385654
0.05 0.359804 0.204348 -0.0713148 -0.0630735 -0.0929793
0.06 0.384775 0.227182 -0.0730103 -0.0528393 -0.0289984
0.07 0.406634 0.244592 -0.0718063 -0.0433405 0.0107547
0.08 0.425214 0.257062 -0.068801 -0.0350487 0.0356943
0.09 0.440522 0.265236 -0.0647263 -0.0280569 0.0511595
0.1 0.452697 0.269784 -0.0600676 -0.0222833 0.0603588
0.15 0.472634 0.256497 -0.0365071 -0.00658546 0.0645168
0.2 0.443349 0.215041 -0.019575 -0.00187566 0.0489207
0.3 0.31869 0.124989 -0.00443229 -0.000167245 0.0217023
0.4 0.186348 0.0602941 -0.000748258 -1.74364e-05 0.00792643
0.55 0.0561844 0.0139118 -2.07755e-05 7.99647e-07 0.0011797
0.6 0.0329032 0.00744708 -2.92055e-06 6.98948e-07 0.000532766
0.7 0.00832531 0.00158995 3.44509e-07 1.87837e-07 7.98393e-05
0.9 2.79253e-05 2.46987e-06 5.61151e-10 3.83987e-10 8.20927e-08
