x uv dv ubar dvar gl
1e-05 1.14614 1.13983 1.14054 1.13977 5.0841
2e-05 1.1592 1.14996 1.15113 1.14983 9.45583
3e-05 1.14125 1.12975 1.13131 1.12957 9.41876
5e-05 1.10039 1.08532 1.08755 1.08501 8.08237
6e-05 1.08215 1.06557 1.06811 1.0652 7.42546
7e-05 1.06555 1.04758 1.05041 1.04715 6.83282
8e-05 1.05042 1.03117 1.03427 1.03068 6.30399
9e-05 1.03658 1.01613 1.01949 1.01558 5.83204
0.0001 1.02384 1.00226 1.00588 1.00165 5.40918
0.0002 0.934167 0.903635 0.909417 0.902424 2.77711
0.0003 0.879039 0.841842 0.849404 0.840034 1.46406
0.0005 0.808823 0.761427 0.771931 0.758433 0.112238
0.0006 0.783795 0.732212 0.743986 0.728626 -0.287453
0.0007 0.762695 0.707328 0.720274 0.703153 -0.592445
0.0008 0.744473 0.685641 0.699678 0.680879 -0.833009
0.0009 0.728449 0.66641 0.681468 0.661061 -1.02758
0.001 0.714155 0.649126 0.665144 0.643192 -1.18805
0.002 0.620971 0.533267 0.556581 0.521536 -1.9542
0.003 0.566909 0.463516 0.491473 0.446071 -2.20188
0.005 0.498942 0.373721 0.406365 0.345068 -2.34724
0.006 0.474761 0.341464 0.374843 0.307304 -2.36147
0.007 0.454415 0.314322 0.347628 0.274719 -2.36004
0.008 0.436922 0.291061 0.323605 0.246075 -2.34962
0.009 0.421652 0.270872 0.302053 0.220561 -2.33382
0.01 0.408168 0.253183 0.282482 0.197607 -2.31473
0.02 0.328999 0.156105 0.147666 0.0508624 -2.08785
0.03 0.300073 0.130773 0.0672354 -0.0190532 -1.88655
0.05 0.304471 0.157952 -0.0241159 -0.0673096 -1.57443
0.06 0.322684 0.186111 -0.0501574 -0.0706046 -1.44941
0.07 0.346524 0.216601 -0.0680083 -0.0677865 -1.33889
0.08 0.373834 0.246683 -0.0797409 -0.0618216 -1.24005
0.09 0.403054 0.274794 -0.086862 -0.0545043 -1.15082
0.1 0.433054 0.300135 -0.0904982 -0.0468787 -1.06969
0.15 0.571092 0.37853 -0.0804187 -0.0176866 -0.752379
0.2 0.661985 0.390929 -0.0555206 -0.00530026 -0.533242
0.3 0.6806 0.315792 -0.0185011 -0.000282991 -0.263075
0.4 0.546415 0.203606 -0.00430283 -8.96665e-06 -0.121508
0.55 0.262482 0.0723739 -0.000212728 6.18815e-08 -0.0303987
0.6 0.181717 0.0454089 -4.94014e-05 1.17128e-08 -0.0173839
0.7 0.0662463 0.0136301 1.91443e-07 2.48919e-10 -0.00452106
0.9 0.000446648 4.41424e-05 2.12044e-09 4.15385e-18 -1.26547e-05
