x uv dv ubar dvar gl
1e-05 1.20478 1.19807 1.19879 1.19793 8.19322
2e-05 1.19163 1.18183 1.18303 1.1816 10.8073
3e-05 1.15744 1.14528 1.14687 1.14495 10.0671
5e-05 1.0984 1.0825 1.08479 1.082 8.10683
6e-05 1.07456 1.05708 1.05968 1.0565 7.28518
7e-05 1.05363 1.03472 1.03761 1.03405 6.57359
8e-05 1.03506 1.01481 1.01798 1.01407 5.95538
9e-05 1.01841 0.99692 1.00036 0.996094 5.41432
0.0001 1.00335 0.980689 0.984383 0.979783 4.93684
0.0002 0.902566 0.870635 0.876516 0.868965 2.0854
0.0003 0.843902 0.805105 0.812764 0.802701 0.730572
0.0005 0.771733 0.722472 0.733037 0.718647 -0.612474
0.0006 0.746565 0.693023 0.70483 0.688503 -0.996717
0.0007 0.725541 0.668137 0.681083 0.66293 -1.28468
0.0008 0.707516 0.646581 0.66058 0.640692 -1.50797
0.0009 0.691756 0.62756 0.64254 0.620995 -1.6856
0.001 0.677767 0.610533 0.62643 0.603297 -1.82972
0.002 0.587887 0.497765 0.520434 0.484002 -2.46785
0.003 0.536572 0.430772 0.457478 0.410706 -2.63097
0.005 0.472734 0.345377 0.375496 0.313161 -2.66683
0.006 0.450203 0.31496 0.345179 0.276845 -2.64218
0.007 0.431327 0.289494 0.31902 0.245586 -2.60823
0.008 0.415171 0.267782 0.29594 0.218174 -2.57001
0.009 0.401128 0.249036 0.275246 0.193816 -2.53003
0.01 0.388785 0.232702 0.256466 0.171955 -2.48963
0.02 0.318235 0.145921 0.1276 0.0339142 -2.13313
0.03 0.2952 0.127095 0.0515288 -0.0299198 -1.86803
0.05 0.306968 0.160495 -0.0332284 -0.0709506 -1.49434
0.06 0.327283 0.189557 -0.0567244 -0.0722931 -1.35377
0.07 0.352414 0.220024 -0.0724332 -0.0682352 -1.23317
0.08 0.38033 0.249435 -0.0823807 -0.0615373 -1.12801
0.09 0.409569 0.276438 -0.0880311 -0.0538349 -1.03517
0.1 0.439104 0.300395 -0.0904706 -0.0460557 -0.952376
0.15 0.569937 0.370897 -0.0774044 -0.0173318 -0.642643
0.2 0.650105 0.377117 -0.052318 -0.00541536 -0.441128
0.3 0.65039 0.297374 -0.016941 -0.000449765 -0.206843
0.4 0.509915 0.187731 -0.00385813 -6.25345e-05 -0.0915594
0.55 0.236675 0.0646747 -0.00018526 -3.9996e-06 -0.0215867
0.6 0.161869 0.0401186 -4.22345e-05 -9.9144e-07 -0.0120914
0.7 0.057436 0.0117427 4.40857e-07 1.89456e-07 -0.00301244
0.9 0.000366638 3.60134e-05 3.3523e-09 1.56176e-09 -7.54785e-06
