x uv dv ubar dvar gl
1e-05 1.29263 1.28521 1.28597 1.28495 11.8635
2e-05 1.22772 1.21697 1.21822 1.21655 11.9331
3e-05 1.1647 1.1514 1.15307 1.15083 10.2271
5e-05 1.07522 1.05791 1.0603 1.05708 7.45917
6e-05 1.0424 1.02342 1.02612 1.02245 6.43793
7e-05 1.01468 0.994167 0.997168 0.993083 5.58815
8e-05 0.990814 0.968886 0.972173 0.967685 4.87059
9e-05 0.969943 0.946692 0.950251 0.945376 4.2562
0.0001 0.951451 0.926957 0.930777 0.925527 3.72363
0.0002 0.835531 0.801263 0.807283 0.79878 0.709388
0.0003 0.773166 0.731708 0.739485 0.728252 -0.622154
0.0005 0.700481 0.648144 0.658731 0.642861 -1.85792
0.0006 0.676023 0.61926 0.631024 0.613101 -2.18943
0.0007 0.655903 0.595159 0.607991 0.588144 -2.42855
0.0008 0.638859 0.574488 0.588295 0.566631 -2.60699
0.0009 0.624105 0.556389 0.571095 0.547704 -2.74345
0.001 0.611113 0.540293 0.55583 0.53079 -2.84969
0.002 0.529656 0.43567 0.457 0.418412 -3.2254
0.003 0.48435 0.374757 0.399055 0.350229 -3.23386
0.005 0.42889 0.298244 0.3238 0.260053 -3.0833
0.006 0.409555 0.271348 0.295961 0.226644 -2.99565
0.007 0.393472 0.249018 0.271927 0.197975 -2.9102
0.008 0.379803 0.230145 0.250716 0.172916 -2.8288
0.009 0.368017 0.214002 0.231696 0.150726 -2.75192
0.01 0.357738 0.200074 0.214436 0.130881 -2.67948
0.02 0.302056 0.130702 0.0964755 0.00803194 -2.13858
0.03 0.28854 0.122169 0.027889 -0.0458449 -1.79059
0.05 0.311424 0.164652 -0.0461295 -0.0756241 -1.34511
0.06 0.334631 0.194741 -0.0656359 -0.0740619 -1.18905
0.07 0.361349 0.224828 -0.0780529 -0.068217 -1.05985
0.08 0.389768 0.252904 -0.0853068 -0.0605064 -0.950689
0.09 0.418617 0.277957 -0.0887775 -0.0523108 -0.856991
0.1 0.447026 0.299592 -0.0894765 -0.0443758 -0.775557
0.15 0.565285 0.357669 -0.0723397 -0.0165638 -0.488717
0.2 0.628522 0.354748 -0.0473075 -0.00542441 -0.317724
0.3 0.60212 0.269125 -0.0146364 -0.000623467 -0.136387
0.4 0.454521 0.164233 -0.00322316 -0.000118198 -0.0560586
0.55 0.199661 0.0538007 -0.000148072 -8.38217e-06 -0.011949
0.6 0.13391 0.0327662 -3.30225e-05 -2.2858e-06 -0.00646967
0.7 0.0454964 0.00921067 5.23321e-07 2.22023e-07 -0.00150819
0.9 0.000266402 2.58976e-05 3.68352e-09 2.32909e-09 -3.14825e-06
