x xuv xdv xubar xdbar xgl
0.001 1.84931 1.81474 1.76815 1.7895 32.4638
0.00103532 1.82737 1.79252 1.74507 1.76664 31.8454
0.00107189 1.8057 1.77056 1.72225 1.74403 31.2363
0.00110975 1.7843 1.74887 1.69967 1.72167 30.6365
0.00114895 1.76317 1.72745 1.67735 1.69956 30.0458
0.00118953 1.7423 1.70629 1.65528 1.6777 29.4642
0.00123155 1.7217 1.68539 1.63346 1.65608 28.8916
0.00127505 1.70137 1.66475 1.61188 1.63471 28.3278
0.00132009 1.68129 1.64437 1.59055 1.61357 27.7728
0.00136672 1.66148 1.62424 1.56946 1.59268 27.2264
0.00141499 1.64193 1.60437 1.54861 1.57202 26.6886
0.00146497 1.62264 1.58476 1.528 1.55159 26.1592
0.00151672 1.60361 1.5654 1.50763 1.5314 25.6382
0.00157029 1.58483 1.54628 1.4875 1.51144 25.1253
0.00162576 1.5663 1.52742 1.4676 1.49171 24.6207
0.00168318 1.54803 1.5088 1.44793 1.4722 24.124
0.00174263 1.53001 1.49042 1.42849 1.45291 23.6353
0.00180419 1.51224 1.47229 1.40928 1.43385 23.1545
0.00186791 1.49472 1.4544 1.3903 1.41501 22.6814
0.00193389 1.47745 1.43675 1.37155 1.39638 22.2159
0.0020022 1.46042 1.41934 1.35302 1.37797 21.758
0.00207292 1.44364 1.40216 1.33471 1.35977 21.3076
0.00214614 1.4271 1.38521 1.31662 1.34179 20.8645
0.00222195 1.41081 1.3685 1.29875 1.324 20.4287
0.00230043 1.39475 1.35202 1.28109 1.30643 20.0001
0.00238169 1.37894 1.33576 1.26365 1.28905 19.5786
0.00246581 1.36336 1.31973 1.24642 1.27188 19.1641
0.00255291 1.34802 1.30392 1.2294 1.2549 18.7566
0.00264308 1.33292 1.28834 1.21259 1.23812 18.3558
0.00273644 1.31805 1.27297 1.19598 1.22153 17.9618
0.0028331 1.30341 1.25782 1.17958 1.20513 17.5745
0.00293317 1.289 1.24289 1.16339 1.18892 17.1937
0.00303677 1.27483 1.22817 1.14739 1.17289 16.8194
0.00314404 1.26088 1.21365 1.13159 1.15705 16.4514
0.00325509 1.24716 1.19935 1.11599 1.14138 16.0898
0.00337006 1.23366 1.18526 1.10058 1.12588 15.7345
0.0034891 1.22039 1.17136 1.08537 1.11057 15.3852
0.00361234 1.20735 1.15767 1.07035 1.09542 15.0421
0.00373994 1.19452 1.14418 1.05551 1.08043 14.7049
0.00387204 1.18192 1.13088 1.04086 1.06562 14.3737
0.00400881 1.16954 1.11778 1.0264 1.05096 14.0482
0.0041504 1.15737 1.10487 1.01212 1.03646 13.7285
0.004297 1.14542 1.09215 0.998013 1.02212 13.4145
0.00444878 1.13368 1.07961 0.984089 1.00793 13.1061
0.00460592 1.12216 1.06726 0.97034 0.993883 12.8032
0.00476861 1.11085 1.05509 0.956764 0.979986 12.5057
0.00493705 1.09975 1.0431 0.94336 0.966231 12.2136
0.00511143 1.08886 1.03128 0.930124 0.952615 11.9268
0.00529198 1.07818 1.01963 0.917055 0.939134 11.6452
0.0054789 1.06771 1.00816 0.904151 0.925787 11.3688
0.00567243 1.05744 0.996851 0.891409 0.912568 11.0974
0.00587279 1.04738 0.985707 0.878826 0.899475 10.8311
0.00608022 1.03752 0.974723 0.866402 0.886504 10.5697
0.00629499 1.02786 0.963897 0.854132 0.873651 10.3131
0.00651734 1.01839 0.953226 0.842014 0.860914 10.0613
0.00674754 1.00913 0.942707 0.830048 0.848289 9.81433
0.00698588 1.00006 0.932336 0.818228 0.835771 9.57197
0.00723263 0.991192 0.922111 0.806555 0.823359 9.33421
0.0074881 0.982514 0.912028 0.795024 0.811047 9.10098
0.0077526 0.974028 0.902083 0.783633 0.798833 8.87221
0.00802643 0.965732 0.892274 0.77238 0.786712 8.64785
0.00830994 0.957625 0.882598 0.761263 0.774681 8.42783
0.00860346 0.949705 0.87305 0.750277 0.762738 8.21209
0.00890735 0.94197 0.863627 0.739422 0.750877 8.00056
0.00922198 0.934419 0.854327 0.728695 0.739095 7.79318
0.00954772 0.92705 0.845145 0.718091 0.727389 7.58989
0.00988496 0.919861 0.836078 0.70761 0.715755 7.39064
0.0102341 0.91285 0.827122 0.697248 0.70419 7.19536
0.0105956 0.906016 0.818275 0.687002 0.69269 7.00399
0.0109699 0.899356 0.809532 0.67687 0.681252 6.81648
0.0113573 0.892869 0.80089 0.666848 0.669872 6.63277
0.0117585 0.886553 0.792346 0.656935 0.658546 6.45281
0.0121738 0.880404 0.783895 0.647126 0.647272 6.27653
0.0126038 0.874423 0.775535 0.63742 0.636047 6.10388
0.013049 0.868605 0.767262 0.627813 0.624866 5.93481
0.0135099 0.862949 0.759072 0.618302 0.613728 5.76927
0.0139871 0.857453 0.750962 0.608885 0.602628 5.60719
