x uv dv ubar dvar gl
1e-05 1.08193 1.07094 1.07194 1.07002 -0.782983
2e-05 0.827341 0.811801 0.813411 0.810357 -5.60395
3e-05 0.691298 0.672356 0.674461 0.670474 -7.91334
5e-05 0.549791 0.525619 0.52853 0.522978 -9.9521
6e-05 0.508132 0.481801 0.485057 0.478817 -10.4371
7e-05 0.476489 0.448204 0.451778 0.444894 -10.752
8e-05 0.451646 0.421566 0.425434 0.417943 -10.9576
9e-05 0.431637 0.399892 0.404036 0.395968 -11.0898
0.0001 0.415193 0.381891 0.386295 0.377675 -11.1709
0.0002 0.337063 0.291802 0.298227 0.285011 -10.9582
0.0003 0.310811 0.257031 0.264871 0.248022 -10.3709
0.0005 0.29166 0.225387 0.23515 0.212482 -9.32495
0.0006 0.287484 0.216259 0.2267 0.201576 -8.89802
0.0007 0.284742 0.209127 0.220115 0.192748 -8.5228
0.0008 0.282834 0.203267 0.214696 0.185257 -8.19017
0.0009 0.281438 0.198273 0.210054 0.178689 -7.89266
0.001 0.280375 0.193904 0.205961 0.172794 -7.62435
0.002 0.275404 0.165395 0.177563 0.130792 -5.86512
0.003 0.27234 0.147639 0.157217 0.101483 -4.88745
0.005 0.267223 0.124384 0.125005 0.0582889 -3.75475
0.006 0.265203 0.116403 0.111459 0.0413981 -3.38237
0.007 0.263554 0.110095 0.0991443 0.0267105 -3.0817
0.008 0.262268 0.105145 0.0878584 0.0138269 -2.83208
0.009 0.26133 0.10132 0.0774533 0.00245451 -2.62041
0.01 0.260708 0.0984356 0.0678146 -0.00763326 -2.43793
0.02 0.267483 0.10026 -0.000275839 -0.0644801 -1.40334
0.03 0.28787 0.126525 -0.038348 -0.0809172 -0.934649
0.05 0.341935 0.190113 -0.072685 -0.0742769 -0.489144
0.06 0.36967 0.21797 -0.0786798 -0.0650011 -0.368664
0.07 0.396008 0.241423 -0.0805327 -0.0552736 -0.282055
0.08 0.42024 0.260261 -0.0796207 -0.0461222 -0.217907
0.09 0.441964 0.274703 -0.0768905 -0.0379797 -0.169345
0.1 0.461017 0.285182 -0.0729962 -0.0309634 -0.131983
0.15 0.515613 0.293478 -0.0483844 -0.0103087 -0.0357217
0.2 0.513022 0.260926 -0.0277201 -0.00333343 -0.00453979
0.3 0.407395 0.166601 -0.00701748 -0.000433906 0.00681346
0.4 0.260459 0.0873422 -0.00131278 -7.85355e-05 0.00425207
0.55 0.0896575 0.0228242 -4.62058e-05 -3.82471e-06 0.000916624
0.6 0.0550969 0.0127947 -8.6556e-06 -7.53513e-07 0.000452418
0.7 0.015451 0.00300761 3.83792e-07 1.51307e-07 7.58567e-05
0.9 6.2738e-05 5.76929e-06 1.21658e-09 8.47333e-10 1.28974e-07
