x uv dv ubar dvar gl
1e-05 -0.233739 -0.247744 -0.246504 -0.249308 -47.4306
2e-05 -0.325984 -0.345481 -0.343567 -0.347906 -41.9493
3e-05 -0.349486 -0.373026 -0.370595 -0.376168 -38.3533
5e-05 -0.34237 -0.372042 -0.368812 -0.376406 -33.5309
6e-05 -0.330963 -0.363136 -0.359581 -0.368047 -31.7716
7e-05 -0.318196 -0.352623 -0.348776 -0.358051 -30.2817
8e-05 -0.305085 -0.341571 -0.33746 -0.34749 -28.9951
9e-05 -0.292111 -0.330499 -0.326146 -0.33689 -27.8668
0.0001 -0.279503 -0.319661 -0.315085 -0.326506 -26.8648
0.0002 -0.180079 -0.23362 -0.227497 -0.244394 -20.5686
0.0003 -0.115456 -0.17831 -0.17132 -0.192372 -17.224
0.0005 -0.0351307 -0.111331 -0.10357 -0.131008 -13.4585
0.0006 -0.00786666 -0.0892572 -0.0813967 -0.111439 -12.2442
0.0007 0.0143429 -0.0716009 -0.0637676 -0.0961444 -11.2718
0.0008 0.0328665 -0.0571369 -0.0494314 -0.0839262 -10.4697
0.0009 0.0486063 -0.0450618 -0.0375662 -0.0739993 -9.79298
0.001 0.0621813 -0.0348258 -0.0276077 -0.065827 -9.21197
0.002 0.138539 0.0185622 0.0207845 -0.0300409 -5.94142
0.003 0.172511 0.0390012 0.0342312 -0.0239419 -4.44256
0.005 0.205331 0.0562081 0.0353104 -0.0302916 -2.93816
0.006 0.214936 0.0610367 0.0316447 -0.03558 -2.49447
0.007 0.222456 0.0649925 0.027026 -0.0409374 -2.15441
0.008 0.228671 0.0685409 0.0219915 -0.0460363 -1.88446
0.009 0.23403 0.0719153 0.0168275 -0.0507411 -1.66447
0.01 0.238807 0.0752347 0.0116913 -0.0550076 -1.48153
0.02 0.275538 0.11084 -0.029423 -0.0769154 -0.570942
0.03 0.307553 0.147757 -0.0526382 -0.077184 -0.242386
0.05 0.364304 0.207892 -0.0696189 -0.0591691 -0.00137033
0.06 0.38794 0.228949 -0.0704373 -0.0489903 0.045865
0.07 0.408116 0.244459 -0.0686499 -0.0397734 0.0725198
0.08 0.424802 0.25506 -0.0652854 -0.031864 0.0870276
0.09 0.438105 0.261483 -0.0610218 -0.0252827 0.0940638
0.1 0.448233 0.264436 -0.0563026 -0.0199085 0.0963721
0.15 0.458821 0.245851 -0.0334336 -0.0056249 0.0800313
0.2 0.423254 0.202699 -0.017597 -0.00150755 0.0556049
0.3 0.295747 0.114684 -0.00385677 -0.000102905 0.0226119
0.4 0.168576 0.0540148 -0.000630968 -4.04428e-06 0.00783592
0.55 0.048928 0.0120233 -1.60883e-05 1.62279e-06 0.00109621
0.6 0.0282577 0.00635068 -1.94805e-06 9.26555e-07 0.000485084
0.7 0.00694395 0.0013192 3.2412e-07 1.86458e-07 7.02436e-05
0.9 2.20638e-05 1.92683e-06 4.44179e-10 3.01074e-10 6.49084e-08
