x uv dv ubar dvar gl
1e-05 1.35883 1.34977 1.35062 1.34921 12.7568
2e-05 1.17715 1.16418 1.16559 1.1633 8.43143
3e-05 1.05978 1.04386 1.04573 1.04271 5.39097
5e-05 0.920297 0.899786 0.902417 0.898147 1.84275
6e-05 0.87455 0.852129 0.855098 0.850269 0.726633
7e-05 0.837803 0.813646 0.816929 0.811573 -0.143523
8e-05 0.807457 0.7817 0.785278 0.779422 -0.840352
9e-05 0.78185 0.754603 0.758461 0.752126 -1.41038
0.0001 0.759864 0.731221 0.735346 0.728551 -1.88472
0.0002 0.636046 0.596547 0.602846 0.592138 -4.19714
0.0003 0.57869 0.531329 0.539276 0.525381 -4.96152
0.0005 0.519169 0.460089 0.470518 0.451364 -5.42275
0.0006 0.500736 0.436949 0.448358 0.426929 -5.47536
0.0007 0.486115 0.418122 0.43039 0.406855 -5.48089
0.0008 0.474081 0.402279 0.415302 0.389802 -5.45975
0.0009 0.463905 0.388612 0.402306 0.374955 -5.42294
0.001 0.455116 0.376598 0.390889 0.36179 -5.37674
0.002 0.402859 0.300816 0.318396 0.275502 -4.8274
0.003 0.375167 0.257843 0.27583 0.223153 -4.36957
0.005 0.341986 0.204903 0.219252 0.153369 -3.7189
0.006 0.330632 0.186745 0.19787 0.127447 -3.47684
0.007 0.321328 0.171963 0.179227 0.105242 -3.27072
0.008 0.313571 0.159759 0.162649 0.0859041 -3.09208
0.009 0.307028 0.149599 0.1477 0.0688674 -2.93501
0.01 0.301479 0.141104 0.134081 0.0537269 -2.79527
0.02 0.27773 0.108444 0.0407865 -0.0359413 -1.91438
0.03 0.282814 0.119403 -0.0120406 -0.0698721 -1.44906
0.05 0.324853 0.17617 -0.0647918 -0.0789714 -0.939464
0.06 0.35195 0.20648 -0.0768029 -0.072605 -0.78228
0.07 0.379933 0.234241 -0.0832284 -0.064076 -0.660552
0.08 0.407517 0.258384 -0.0857373 -0.0550822 -0.56372
0.09 0.433871 0.278562 -0.0855024 -0.046497 -0.485106
0.1 0.458466 0.29484 -0.0833607 -0.0387194 -0.420249
0.15 0.546602 0.327291 -0.0606577 -0.0138799 -0.218896
0.2 0.575403 0.307684 -0.0371023 -0.00468171 -0.12101
0.3 0.502559 0.214605 -0.0104116 -0.000653901 -0.039131
0.4 0.34968 0.121631 -0.00212546 -0.000133424 -0.0125604
0.55 0.136353 0.0356989 -8.76642e-05 -9.03241e-06 -0.00195534
0.6 0.0876404 0.0208854 -1.85432e-05 -2.52475e-06 -0.000969907
0.7 0.0271047 0.00537879 4.08901e-07 1.10075e-07 -0.000200911
0.9 0.000132332 1.25469e-05 2.36551e-09 1.6396e-09 -2.29195e-07
