x uv dv ubar dvar gl
0.00052427 0.834081 0.811706 0.796448 0.808568 -0.00422596
0.01062 0.61395 0.583656 0.484487 0.524758 2.30909
0.0207157 0.624049 0.56885 0.438689 0.460061 2.07869
0.0308114 0.64598 0.553905 0.409061 0.400657 1.87824
0.0409071 0.66949 0.536497 0.383252 0.343361 1.71007
0.0510028 0.691821 0.518754 0.358677 0.290154 1.56656
0.0610986 0.712217 0.502182 0.334665 0.24223 1.44161
0.0711943 0.730474 0.487577 0.311133 0.200118 1.33114
0.08129 0.746603 0.475195 0.288182 0.163822 1.23231
0.0913857 0.760694 0.464957 0.265945 0.13302 1.14309
0.101481 0.772863 0.45659 0.244559 0.107206 1.06197
0.111577 0.783224 0.44974 0.224127 0.0858129 0.987791
0.121673 0.791879 0.444027 0.204729 0.0682576 0.919647
0.131769 0.798927 0.43908 0.186424 0.0539609 0.856813
0.141864 0.804442 0.434571 0.16924 0.0424151 0.798697
0.15196 0.808498 0.430216 0.153188 0.0331502 0.744807
0.162056 0.811141 0.425781 0.138261 0.0257747 0.69473
0.172151 0.812433 0.421086 0.124438 0.0199282 0.648111
0.182247 0.812402 0.415987 0.11169 0.0153303 0.604651
0.192343 0.81108 0.410382 0.0999785 0.0117365 0.564087
0.202439 0.808509 0.404216 0.0892561 0.00893858 0.526185
0.212534 0.804745 0.39747 0.0794638 0.00676507 0.490728
0.22263 0.799736 0.390083 0.0705743 0.00510557 0.45757
0.232726 0.7936 0.382122 0.0625046 0.00382734 0.426507
0.242821 0.786335 0.373592 0.0552096 0.00285328 0.397406
0.252917 0.777929 0.364502 0.0486471 0.00211981 0.370155
0.263013 0.768463 0.354926 0.0427491 0.00156595 0.344609
0.273109 0.757965 0.344913 0.0374647 0.00115034 0.320662
0.283204 0.746474 0.334514 0.0327435 0.000840135 0.29821
0.2933 0.734039 0.32379 0.0285357 0.000609663 0.277158
0.303396 0.720645 0.31277 0.024809 0.000441151 0.257443
0.313491 0.706373 0.30153 0.0215109 0.00031758 0.238972
0.323587 0.691316 0.290141 0.0185917 0.000226705 0.221649
0.333683 0.675493 0.278641 0.0160209 0.000160821 0.20542
0.343779 0.6589 0.267064 0.0137743 0.000113889 0.190247
0.353874 0.641736 0.2555 0.0117922 7.94876e-05 0.176004
0.36397 0.623852 0.243938 0.0100823 5.57692e-05 0.162731
0.374066 0.605526 0.232475 0.0085788 3.84517e-05 0.150272
0.384161 0.586636 0.221109 0.00728737 2.65885e-05 0.138666
0.394257 0.567366 0.209898 0.00616518 1.8177e-05 0.127806
0.404353 0.54777 0.198872 0.00519354 1.22634e-05 0.11765
0.414449 0.527805 0.18805 0.00436935 8.32573e-06 0.108217
0.424544 0.507649 0.177469 0.00365897 5.57538e-06 0.0994039
0.43464 0.487351 0.167146 0.00304963 3.68036e-06 0.0911788
0.444736 0.466931 0.157105 0.00253391 2.41856e-06 0.0835356
0.454831 0.446446 0.147367 0.00210029 1.59062e-06 0.0764471
0.464927 0.425997 0.137943 0.00173292 1.0341e-06 0.0698542
0.475023 0.405637 0.128844 0.00142323 6.64629e-07 0.0637302
0.485119 0.385419 0.120081 0.00116345 4.22375e-07 0.0580497
0.495214 0.365398 0.111662 0.000946633 2.65488e-07 0.0527879
0.50531 0.345626 0.103596 0.00076659 1.65114e-07 0.047921
0.515406 0.326154 0.0958853 0.000617839 1.01648e-07 0.043426
0.525501 0.307034 0.0885348 0.000495559 6.19698e-08 0.0392807
0.535597 0.288313 0.0815454 0.000395539 3.74254e-08 0.0354636
0.545693 0.270035 0.0749166 0.000314129 2.2393e-08 0.0319542
0.555789 0.252244 0.068646 0.000248187 1.32717e-08 0.0287325
0.565884 0.234977 0.0627298 0.000195027 7.78614e-09 0.0257796
0.57598 0.218268 0.0571621 0.000152375 4.51618e-09 0.0230772
0.586076 0.202146 0.0519357 0.000118314 2.58512e-09 0.0206077
0.596171 0.186638 0.0470419 9.12449e-05 1.45676e-09 0.0183545
0.606267 0.171761 0.0424709 6.98399e-05 8.05723e-10 0.0163018
0.616363 0.157531 0.0382117 5.30048e-05 4.35852e-10 0.0144345
0.626459 0.143958 0.0342523 3.98427e-05 2.29684e-10 0.0127386
0.636554 0.131045 0.0305803 2.96218e-05 1.17404e-10 0.0112006
0.64665 0.118857 0.0272106 2.19609e-05 6.10465e-11 0.00982302
0.656746 0.107409 0.0241322 1.62434e-05 3.21066e-11 0.0085931
0.666841 0.0966354 0.0213043 1.18577e-05 1.61388e-11 0.00748496
0.676937 0.0865232 0.0187123 8.52261e-06 7.70889e-12 0.00648816
0.687033 0.0770546 0.0163419 6.0146e-06 3.47887e-12 0.0055931
0.697129 0.0683079 0.0142118 4.23581e-06 1.63099e-12 0.00480525
0.707224 0.0602951 0.0123136 2.98559e-06 7.83845e-13 0.00411695
0.71732 0.0528788 0.0105947 2.05263e-06 3.41031e-13 0.003503
0.727416 0.0460301 0.00904193 1.37049e-06 1.34499e-13 0.00295664
0.737511 0.0398399 0.0076764 9.14787e-07 5.70551e-14 0.00248475
0.747607 0.0343093 0.00648931 6.12326e-07 2.47233e-14 0.00208137
0.757703 0.0292631 0.00542771 3.92566e-07 8.9889e-15 0.0017249
0.767799 0.0246706 0.00448177 2.39542e-07 2.79507e-15 0.00141117
0.777894 0.0207742 0.00370651 1.55448e-07 1.26331e-15 0.00115882
0.78799 0.017269 0.00302171 9.4518e-08 4.11129e-16 0.000937886
0.798086 0.0141207 0.00241871 5.33281e-08 1.0365e-16 0.000745246
0.808181 0.0115252 0.00193812 3.23961e-08 4.33681e-17 0.000594018
0.818277 0.00925715 0.00152618 1.81992e-08 1.13841e-17 0.000465351
0.828373 0.00725073 0.00116869 9.10081e-09 2.1684e-18 0.000354535
0.838469 0.00569939 0.000902292 5.2402e-09 1.40946e-18 0.000272955
0.848564 0.0043545 0.000674972 2.56939e-09 1.0842e-19 0.000203627
0.85866 0.00322669 0.000488773 1.15468e-09 1.0842e-19 0.000147191
0.868756 0.00240053 0.000356999 5.90769e-10 -1.0842e-19 0.0001075
0.878851 0.001689 0.000245125 2.24182e-10 0 7.38655e-05
0.888947 0.00117613 0.000167223 1.00609e-10 -9.48677e-20 5.05163e-05
0.899043 0.000789347 0.000109733 3.64993e-11 2.71051e-20 3.32763e-05
0.909139 0.000483244 6.52811e-05 9.96236e-12 2.71051e-20 1.99389e-05
0.919234 0.000308585 4.09523e-05 4.07707e-12 3.38813e-21 1.25909e-05
0.92933 0.000164444 2.11118e-05 6.80357e-13 -3.38813e-21 6.58163e-06
0.939426 9.14936e-05 1.15343e-05 2.62173e-13 -5.0822e-21 3.63526e-06
0.949521 4.09649e-05 4.98556e-06 2.71119e-14 1.69407e-21 1.60651e-06
0.959617 1.67124e-05 1.98661e-06 7.02865e-15 4.23516e-22 6.53189e-07
0.969713 5.67493e-06 6.4864e-07 2.96237e-16 0 2.20766e-07
0.979809 1.06877e-06 1.18747e-07 3.80125e-17 1.32349e-23 4.18346e-08
0.989904 2.12421e-07 2.21774e-08 1.38665e-19 3.30872e-24 8.42197e-09
1 0 0 0 0 0
