x uv dv ubar dvar gl
1e-05 1.2507 1.24364 1.24437 1.24344 10.1789
2e-05 1.21285 1.20259 1.20381 1.20226 11.5316
3e-05 1.16449 1.15177 1.1534 1.15133 10.3032
5e-05 1.09021 1.07363 1.07596 1.07296 7.92485
6e-05 1.06181 1.04361 1.04625 1.04284 6.99697
7e-05 1.03741 1.01772 1.02067 1.01686 6.21047
8e-05 1.01612 0.995057 0.998282 0.99409 5.53733
9e-05 0.997287 0.974939 0.978434 0.973875 4.95485
0.0001 0.980438 0.956884 0.960638 0.955725 4.44548
0.0002 0.871524 0.838454 0.844403 0.83639 1.48362
0.0003 0.810654 0.770558 0.778276 0.767644 0.124045
0.0005 0.737785 0.687019 0.6976 0.682488 -1.18436
0.0006 0.712821 0.657701 0.669494 0.652388 -1.54846
0.0007 0.692124 0.633084 0.645983 0.627001 -1.81701
0.0008 0.674485 0.611865 0.625781 0.605023 -2.02201
0.0009 0.659138 0.593216 0.608074 0.585623 -2.18255
0.001 0.645569 0.576575 0.59231 0.568241 -2.31073
0.002 0.559438 0.467411 0.489452 0.451951 -2.8344
0.003 0.5109 0.403223 0.428787 0.380987 -2.92757
0.005 0.451008 0.322013 0.349944 0.286883 -2.8771
0.006 0.429999 0.293276 0.320797 0.251943 -2.82278
0.007 0.412461 0.269314 0.295646 0.221917 -2.76439
0.008 0.3975 0.248969 0.273456 0.195631 -2.70553
0.009 0.384545 0.231482 0.253562 0.172314 -2.6478
0.01 0.373201 0.216314 0.235511 0.151425 -2.59192
0.02 0.309919 0.138074 0.111925 0.0207929 -2.14444
0.03 0.291607 0.124383 0.0395247 -0.038115 -1.83702
0.05 0.308993 0.162427 -0.0399105 -0.0735045 -1.42509
0.06 0.330811 0.192068 -0.0614121 -0.0733691 -1.27572
0.07 0.356801 0.222406 -0.0754671 -0.0683912 -1.1499
0.08 0.385038 0.251204 -0.0840547 -0.0611624 -1.04192
0.09 0.414149 0.277279 -0.0885987 -0.0531923 -0.947949
0.1 0.443188 0.300112 -0.0901499 -0.0453174 -0.86523
0.15 0.567989 0.364484 -0.07496 -0.0170009 -0.564987
0.2 0.639793 0.366108 -0.0498424 -0.00545441 -0.377901
0.3 0.626571 0.283273 -0.0157815 -0.000550986 -0.16992
0.4 0.482187 0.175884 -0.00353548 -9.47769e-05 -0.0726116
0.55 0.217841 0.0591169 -0.000166097 -6.51387e-06 -0.0163106
0.6 0.147568 0.0363429 -3.74251e-05 -1.7008e-06 -0.00898653
0.7 0.0512586 0.0104288 5.16665e-07 2.34951e-07 -0.00216625
0.9 0.000313579 3.06479e-05 3.70238e-09 2.13965e-09 -4.96987e-06
