x xuv xdv xubar xdbar xgl
0.001 1.7361 1.70238 1.65747 1.67877 30.2872
0.00103532 1.71669 1.68271 1.63696 1.65849 29.7327
0.00107189 1.69751 1.66326 1.61666 1.63842 29.1861
0.00110975 1.67856 1.64403 1.59657 1.61856 28.6474
0.00114895 1.65983 1.62503 1.57668 1.5989 28.1164
0.00118953 1.64132 1.60624 1.557 1.57944 27.5932
0.00123155 1.62303 1.58768 1.53753 1.56019 27.0775
0.00127505 1.60497 1.56933 1.51826 1.54114 26.5694
0.00132009 1.58712 1.5512 1.49919 1.52229 26.0687
0.00136672 1.5695 1.53328 1.48033 1.50364 25.5753
0.00141499 1.55209 1.51558 1.46167 1.48519 25.0893
0.00146497 1.53491 1.4981 1.4432 1.46693 24.6104
0.00151672 1.51794 1.48082 1.42494 1.44887 24.1387
0.00157029 1.50118 1.46376 1.40687 1.43099 23.6741
0.00162576 1.48465 1.44691 1.389 1.41331 23.2164
0.00168318 1.46833 1.43027 1.37133 1.39582 22.7656
0.00174263 1.45222 1.41383 1.35384 1.37851 22.3216
0.00180419 1.43632 1.3976 1.33655 1.3614 21.8844
0.00186791 1.42064 1.38158 1.31946 1.34446 21.4538
0.00193389 1.40517 1.36577 1.30255 1.32771 21.0298
0.0020022 1.38991 1.35015 1.28583 1.31114 20.6123
0.00207292 1.37486 1.33474 1.2693 1.29474 20.2013
0.00214614 1.36002 1.31952 1.25295 1.27853 19.7967
0.00222195 1.34539 1.30451 1.23679 1.26249 19.3983
0.00230043 1.33097 1.28969 1.22081 1.24662 19.0061
0.00238169 1.31675 1.27507 1.20502 1.23092 18.6202
0.00246581 1.30274 1.26065 1.1894 1.2154 18.2402
0.00255291 1.28893 1.24641 1.17397 1.20003 17.8663
0.00264308 1.27533 1.23237 1.15871 1.18484 17.4984
0.00273644 1.26193 1.21852 1.14363 1.16981 17.1363
0.0028331 1.24874 1.20485 1.12872 1.15494 16.7799
0.00293317 1.23574 1.19138 1.11399 1.14022 16.4294
0.00303677 1.22295 1.17808 1.09942 1.12567 16.0844
0.00314404 1.21035 1.16497 1.08503 1.11126 15.7451
0.00325509 1.19796 1.15204 1.07081 1.09701 15.4113
0.00337006 1.18576 1.13929 1.05675 1.08291 15.0829
0.0034891 1.17376 1.12672 1.04286 1.06896 14.76
0.00361234 1.16195 1.11433 1.02914 1.05515 14.4423
0.00373994 1.15035 1.1021 1.01557 1.04148 14.13
0.00387204 1.13893 1.09005 1.00217 1.02795 13.8228
0.00400881 1.12771 1.07817 0.988928 1.01456 13.5207
0.0041504 1.11668 1.06645 0.975842 1.0013 13.2237
0.004297 1.10585 1.05491 0.962911 0.988171 12.9317
0.00444878 1.0952 1.04352 0.950135 0.975173 12.6447
0.00460592 1.08474 1.0323 0.93751 0.962301 12.3625
0.00476861 1.07448 1.02123 0.925036 0.949553 12.0851
0.00493705 1.0644 1.01032 0.91271 0.936924 11.8125
0.00511143 1.05451 0.999564 0.900532 0.924413 11.5446
0.00529198 1.0448 0.988961 0.888498 0.912017 11.2813
0.0054789 1.03528 0.978506 0.876607 0.899731 11.0226
0.00567243 1.02595 0.968198 0.864857 0.887555 10.7684
0.00587279 1.01679 0.958035 0.853246 0.875483 10.5187
0.00608022 1.00782 0.948013 0.841773 0.863514 10.2734
0.00629499 0.999032 0.93813 0.830434 0.851643 10.0324
0.00651734 0.990422 0.928383 0.819229 0.839869 9.7957
0.00674754 0.981991 0.918769 0.808155 0.828186 9.56322
0.00698588 0.973739 0.909286 0.79721 0.816594 9.33493
0.00723263 0.965662 0.899931 0.786391 0.805087 9.11075
0.0074881 0.957762 0.8907 0.775697 0.793663 8.89064
0.0077526 0.950036 0.881592 0.765126 0.782318 8.67454
0.00802643 0.942484 0.872602 0.754675 0.771049 8.46239
0.00830994 0.935103 0.863729 0.744343 0.759852 8.25415
0.00860346 0.927894 0.854968 0.734126 0.748725 8.04976
0.00890735 0.920854 0.846317 0.724022 0.737663 7.84917
0.00922198 0.913982 0.837772 0.714029 0.726664 7.65233
0.00954772 0.907278 0.829331 0.704146 0.715723 7.45919
0.00988496 0.900739 0.82099 0.694368 0.704838 7.26969
0.0102341 0.894364 0.812745 0.684695 0.694005 7.08379
0.0105956 0.888152 0.804595 0.675122 0.68322 6.90145
0.0109699 0.882101 0.796534 0.665649 0.67248 6.7226
0.0113573 0.87621 0.788561 0.656272 0.661783 6.5472
0.0117585 0.870477 0.780671 0.646988 0.651124 6.37521
0.0121738 0.8649 0.772862 0.637796 0.6405 6.20657
0.0126038 0.859478 0.765129 0.628692 0.629908 6.04124
0.013049 0.854209 0.757471 0.619674 0.619346 5.87918
0.0135099 0.849091 0.749883 0.610738 0.608809 5.72034
0.0139871 0.844122 0.742362 0.601883 0.598296 5.56467
0.0144812 0.8393 0.734904 0.593106 0.587803 5.41212
0.0149927 0.834623 0.727508 0.584403 0.577327 5.26267
0.0155223 0.830089 0.720169 0.575773 0.566866 5.11625
0.0160705 0.825695 0.712884 0.567211 0.556418 4.97283
0.0166382 0.82144 0.705651 0.558715 0.54598 4.83237
0.0172259 0.817321 0.698466 0.550283 0.53555 4.69482
0.0178343 0.813335 0.691327 0.541912 0.525126 4.56014
0.0184642 0.809479 0.68423 0.533597 0.514707 4.42828
0.0191164 0.805752 0.677173 0.525338 0.504291 4.29922
0.0197917 0.80215 0.670153 0.51713 0.493876 4.17291
0.0204907 0.798671 0.663168 0.508971 0.483462 4.0493
0.0212145 0.79531 0.656216 0.500858 0.473048 3.92836
0.0219639 0.792065 0.649293 0.492788 0.462634 3.81006
0.0227397 0.788934 0.642399 0.484758 0.452218 3.69434
0.0235429 0.785911 0.635532 0.476765 0.441803 3.58117
0.0243744 0.782994 0.628689 0.468806 0.431388 3.47052
0.0252354 0.780179 0.621869 0.460879 0.420973 3.36235
0.0261268 0.777461 0.615071 0.452981 0.410561 3.25661
0.0270496 0.774838 0.608294 0.445109 0.400152 3.15328
0.028005 0.772304 0.601536 0.437261 0.38975 3.05232
0.0289942 0.769856 0.594798 0.429433 0.379356 2.95369
